выберите док-модуль:;сертифицированная программа;экспериментальная программа;программа модификации дронов;* выбрав программу, она автоматически выполнится и будет выполнена процедура отстыковки.;* в случае непредвиденного отключения, ваш корабль будет доставлен на корабль-носитель и никакая программа не будет применена.;отказаться
продув;Ъ ремонт 100%;Ъ очистка от заражения: 3 в 1;Ъ сброс цены ремонта;полный продув и дозаправка контура наномашин;-
присадка эридия;Ъ ремонт 30%;Ъ наращивание брони: +5;Ъ броня увеличивает мощь главного оружия: +15%;редкоземельный металл значительно улучшает свойства брони;требуется технология: броня
корональное сцепление;Ъ +75 аурита ;Ъ тараны дают +1 аурит;Ъ за каждые потерянные 10№ получайте 8 аурита;данный механизм синтезирует аурит при ударных нагрузках;требуется анализ: 100 таранов
капля руперта;Ъ +100% наносимого урона;*  +100% получаемого урона;*  все защитные системы отключаются;замена типа наномашин: экстремальная смертоносность;требуются данные: 40 поражений
шестифазное реле;Ъ генерирует ауру, наносящую урон;*  аура ускоряет все снаряды;Ъ радиус всех взрывов увеличен;шестая фаза стабилизирует поле и даёт ему уникальные свойства;требуется анализ работы ядра: 200 Квт
овертюнинг дронов;Ъ + уникальный спутник "Роберо";*  снижение эффективности главного оружия: -50%;Ъ увеличение эффективности дронов +300%;глобальная модернизация дронов запчастями вашего корабля;требуется в запасе: 2 сигареты
хмель;Ъ ремонт 30 №;Ъ + спутник/модификация "Хмель";Ъ увеличение эффективности дронов +100%;хмель - универсальный спутник для прикрытия тыла;-
тринити;Ъ ремонт 30№;Ъ увеличение количества спутников "Уно";Ъ увеличение эффективности дронов +75%;саркофаги в качестве орбитальных спутников довольно эффективны;-
идеальное тело;Ъ ремонт 50№;Ъ + спутник/модификация "Идеальное тело";Ъ увеличение эффективности дронов +50%;модернизированный саркофаг-спутник с нейтронной оболочкой;-
турбийон;Ъ увеличивает наносимый урон на 25%;Ъ увеличивает время жизни снарядов на 25%;*  при потере более 10# за раз, выходит из строя;невероятно сложный, точный и хрупкий механизм, усиливающий оружие;требуется анализ: 7 миссий без урона
кристальный синий;Ъ увеличивает все характеристики;*  приносит неудачу;*  увеличивает сложность;фрагменты этого кристалла можно использовать во всех системах корабля;требуется анализ: 13 заражения за раз
крючки;Ъ ремонт 40%;Ъ + 3 спутника "Крючок";Ъ увеличение эффективности дронов +40%;подобные дроны были запрещены и признаны негуманными;-
